"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.209492849E0,4.079158620E1,1.675192560E1,4.985621661E2,NaN,NaN,2.115699959E1,1.839913964E0
1.331492849E0,4.079158620E1,1.675192560E1,4.985621661E2,NaN,NaN,2.115699959E1,1.839913964E0
1.025149285E1,4.079117833E1,1.675171667E1,5.132623542E2,0.000000000E0,0.000000000E0,6.400000095E0,7.719999695E1
1.125149285E1,4.079139333E1,1.675183333E1,5.005622568E2,0.000000000E0,0.000000000E0,5.800000191E0,7.940000153E1
1.225149285E1,4.079140000E1,1.675183833E1,4.974622582E2,0.000000000E0,0.000000000E0,5.400000095E0,7.950000000E1
1.325149285E1,4.079140500E1,1.675184000E1,4.949622526E2,0.000000000E0,0.000000000E0,5.000000000E0,8.259999847E1
1.425149285E1,4.079140833E1,1.675184667E1,4.926622667E2,0.000000000E0,0.000000000E0,4.699999809E0,8.340000153E1
1.525149285E1,4.079141667E1,1.675185167E1,4.900622645E2,0.000000000E0,0.000000000E0,4.300000191E0,6.390000153E1
1.625149285E1,4.079126500E1,1.675177833E1,4.876623621E2,0.000000000E0,0.000000000E0,4.199999809E0,6.569999695E1
1.725149285E1,4.079130667E1,1.675178333E1,4.847622865E2,9.975316525E-1,3.464599915E2,4.000000000E0,4.809999847E1
1.825149285E1,4.079134500E1,1.675179500E1,4.826622397E2,7.798041701E-1,3.380700073E2,3.200000048E0,4.290000153E1
1.925149285E1,4.079144333E1,1.675182500E1,4.760621199E2,2.172127724E0,3.202399902E2,3.500000000E0,4.340000153E1
2.068149285E1,4.079147333E1,1.675179833E1,4.760619680E2,2.623539209E0,3.156700134E2,2.900000095E0,4.140000153E1
2.168149285E1,4.079150167E1,1.675178000E1,4.762618465E2,2.638980865E0,3.239100037E2,2.700000048E0,3.770000076E1
2.268149285E1,4.079153667E1,1.675177000E1,4.762617373E2,3.077009439E0,3.301900024E2,2.599999905E0,3.420000076E1
2.368149285E1,4.079156333E1,1.675175833E1,4.762616410E2,3.160909176E0,3.347999878E2,2.599999905E0,2.889999962E1
2.468149285E1,4.079157833E1,1.675175167E1,4.765615865E2,3.050758600E0,3.385000000E2,2.500000000E0,2.800000000E1
2.568149285E1,4.079160167E1,1.675174667E1,4.765615191E2,3.164512157E0,3.551199951E2,2.599999905E0,2.670000076E1
2.668149285E1,4.079163000E1,1.675174000E1,4.765614352E2,3.435770750E0,3.524400024E2,2.700000048E0,2.589999962E1
2.768149285E1,4.079165833E1,1.675173000E1,4.769613407E2,3.694676161E0,3.547500000E2,2.400000095E0,2.470000076E1
2.868149285E1,4.079169667E1,1.675172833E1,4.770612509E2,3.971596718E0,0.000000000E0,2.299999952E0,2.460000038E1
2.968149285E1,4.079173833E1,1.675172667E1,4.771611539E2,3.084215641E0,2.240000010E0,2.200000048E0,2.170000076E1
3.068149285E1,4.079177500E1,1.675172667E1,4.770610731E2,3.489301920E0,5.480000019E0,2.099999905E0,2.100000000E1
3.168149285E1,4.079181167E1,1.675173333E1,4.771610139E2,3.630335808E0,4.719999790E0,2.099999905E0,2.139999962E1
3.268149285E1,4.079185000E1,1.675173500E1,4.771609349E2,3.694676161E0,4.710000038E0,2.000000000E0,2.039999962E1
3.368149285E1,4.079187833E1,1.675175667E1,4.771609423E2,3.708058834E0,3.541999817E1,1.899999976E0,1.789999962E1
3.468149285E1,4.079190000E1,1.675178333E1,4.774609805E2,3.706514835E0,5.370999908E1,1.899999976E0,1.629999924E1
3.568149285E1,4.079191500E1,1.675181500E1,4.775610495E2,3.627247572E0,7.293000031E1,1.799999952E0,1.660000038E1
3.668149285E1,4.079192000E1,1.675185167E1,4.775611566E2,3.538200617E0,8.894999695E1,1.899999976E0,1.689999962E1
3.768149285E1,4.079192667E1,1.675188833E1,4.777612601E2,3.471286774E0,8.881999969E1,2.000000000E0,1.629999924E1
3.868149285E1,4.079193167E1,1.675193833E1,4.777614101E2,3.455845118E0,9.087000275E1,2.099999905E0,1.670000076E1
3.968149285E1,4.079193833E1,1.675198833E1,4.776615565E2,3.406946421E0,9.512999725E1,2.099999905E0,1.700000000E1
4.068149285E1,4.079193667E1,1.675204000E1,4.773617266E2,3.332826376E0,1.008799973E2,2.099999905E0,1.710000038E1
4.168149285E1,4.079193667E1,1.675209833E1,4.766619145E2,3.361136198E0,1.086100006E2,2.299999952E0,1.750000000E1
