"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.353625600E-2,-4.660500288E-1,1.081005096E1,1.054949999E0
1.604215100E-2,-3.559500277E-1,1.163595009E1,1.491000056E0
1.854892000E-2,-1.620000005E-1,1.146105099E1,1.395000100E0
2.105662200E-2,-9.000000544E-3,1.033305073E1,1.354950070E0
2.356362200E-2,1.200000010E-2,8.863050461E0,1.618050098E0
2.606954500E-2,-2.295000106E-2,7.804950237E0,1.860000134E0
2.857631400E-2,-2.100000158E-2,7.585050583E0,1.849950075E0
3.108401600E-2,4.095000029E-2,8.506950378E0,2.358000040E0
3.359101800E-2,9.600000083E-2,9.924000740E0,3.403950214E0
3.609695000E-2,2.370000184E-1,1.103505039E1,3.883050203E0
3.860371800E-2,3.760500252E-1,1.120305061E1,3.304050207E0
4.111141000E-2,3.810000122E-1,1.043400097E1,2.278950214E0
4.361818100E-2,2.299500108E-1,9.262950897E0,1.399950027E0
4.612433500E-2,1.905000024E-2,8.430000305E0,6.559500098E-1
4.863110200E-2,-2.290500104E-1,8.377050400E0,-5.505000427E-2
5.113879500E-2,-3.610500097E-1,9.019050598E0,-3.319500089E-1
5.364556600E-2,-4.350000322E-1,1.005795002E1,4.570500255E-1
5.615164300E-2,-3.679500222E-1,1.089105034E1,1.776000142E0
5.865848700E-2,-1.519500017E-1,1.106595039E1,2.547000170E0
6.116621300E-2,1.410000026E-1,1.051500034E1,2.533050060E0
6.367298400E-2,3.610500097E-1,9.541050911E0,2.485050201E0
6.617906100E-2,4.020000100E-1,8.644950867E0,2.536950111E0
6.868593900E-2,3.280500174E-1,8.158950806E0,2.272050142E0
7.119363100E-2,1.990500093E-1,8.274000168E0,1.707000136E0
7.370040200E-2,-1.800000109E-2,8.944950104E0,1.719000101E0
7.620647900E-2,-1.720500141E-1,1.002900028E1,2.466000080E0
7.871332300E-2,-1.669500023E-1,1.088205051E1,2.808000088E0
8.122091900E-2,-4.500000179E-2,1.116195011E1,2.263950109E0
8.372776700E-2,6.405000389E-2,1.066395092E1,1.443000078E0
8.623385400E-2,8.595000207E-2,9.663000107E0,8.830500245E-1
8.874062100E-2,-1.950000064E-3,8.701050758E0,5.620500445E-1
9.124831300E-2,-1.069500074E-1,8.257950783E0,2.050500065E-1
9.375516100E-2,-1.810500026E-1,8.617050171E0,4.350000322E-1
9.626123800E-2,-1.999500096E-1,9.651000023E0,1.659000039E0
9.876800600E-2,-5.895000324E-2,1.062795067E1,2.893950224E0
1.012756980E-1,1.870500147E-1,1.100100040E1,3.325050116E0
1.037825460E-1,4.189500213E-1,1.054395008E1,3.001950026E0
1.062886230E-1,4.480500221E-1,9.547950745E0,2.584950209E0
1.087953900E-1,3.420000076E-1,8.559000015E0,2.200050116E0
1.113031630E-1,1.050000042E-1,8.112000465E0,1.606050134E0
1.138099350E-1,-1.360500008E-1,8.406000137E0,9.979500771E-1
1.163160410E-1,-3.130500019E-1,9.400050163E0,1.075049996E0
1.188228080E-1,-3.799500167E-1,1.050600052E1,1.711050034E0
1.213305000E-1,-2.550000250E-1,1.107600021E1,2.025000095E0
1.238372710E-1,-2.100000158E-2,1.094595051E1,1.804950118E0
