"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.604213800E-2,-8.648750186E-2,2.969999984E-2,1.264999993E-2
1.854892000E-2,-9.996250272E-2,1.512499992E-3,2.488750033E-2
2.105662200E-2,-6.324999779E-2,-4.001250118E-2,1.636249945E-2
2.356362200E-2,-2.653750032E-2,-6.682500243E-2,-6.874999963E-3
2.606954500E-2,-3.024999984E-2,-5.706249923E-2,-2.144999988E-2
2.857632400E-2,-5.829999968E-2,-2.158750035E-2,-2.021249942E-2
3.108401600E-2,-7.301250100E-2,3.987499978E-3,-6.874999963E-3
3.359102500E-2,-5.953750014E-2,1.498750038E-2,1.264999993E-2
3.609695000E-2,-2.901249938E-2,1.869999990E-2,2.364999987E-2
3.860371800E-2,2.832499892E-2,7.699999958E-3,2.488750033E-2
4.111141000E-2,1.053249985E-1,-4.537499975E-3,1.636249945E-2
4.361818100E-2,1.615625024E-1,-2.062499989E-3,-4.399999976E-3
4.612433500E-2,1.518000066E-1,2.598750032E-2,-2.021249942E-2
4.863110200E-2,8.208750188E-2,5.775000155E-2,-2.887500077E-2
5.113879500E-2,7.562499959E-3,5.527500063E-2,-2.392499894E-2
5.364556600E-2,-5.348749831E-2,1.746249944E-2,-1.292499993E-2
5.615164300E-2,-1.010624990E-1,-3.135000169E-2,6.599999964E-3
5.865852100E-2,-1.230624989E-1,-5.582499877E-2,2.364999987E-2
6.116621300E-2,-1.010624990E-1,-6.324999779E-2,3.107500076E-2
6.367298400E-2,-4.001250118E-2,-4.977500066E-2,2.612499893E-2
6.617906100E-2,1.374999993E-2,-1.801249944E-2,6.599999964E-3
6.868593900E-2,3.079999983E-2,1.993750036E-2,-1.292499993E-2
7.119363100E-2,2.474999987E-2,4.069999978E-2,-2.763750032E-2
7.370040200E-2,2.351249941E-2,2.722499892E-2,-2.887500077E-2
7.620647900E-2,2.103750035E-2,7.699999958E-3,-1.416249946E-2
7.871332300E-2,1.003750041E-2,3.987499978E-3,6.599999964E-3
8.122091900E-2,1.856249943E-2,1.127499994E-2,2.241249941E-2
8.372776700E-2,5.403750017E-2,8.937500417E-3,2.364999987E-2
8.623385400E-2,8.456250280E-2,5.224999972E-3,1.264999993E-2
8.874062100E-2,6.984999776E-2,3.987499978E-3,-8.112499490E-3
9.124831300E-2,8.799999952E-3,3.987499978E-3,-2.144999988E-2
9.375516100E-2,-5.348749831E-2,-8.249999955E-3,-2.144999988E-2
9.626123800E-2,-9.624999762E-2,-2.158750035E-2,-9.349999949E-3
9.876800600E-2,-1.145374998E-1,-2.529999986E-2,1.512499992E-2
1.012756980E-1,-1.035374999E-1,-2.158750035E-2,2.859999985E-2
1.037825460E-1,-4.372499883E-2,-1.924999990E-2,2.983750030E-2
1.062886230E-1,3.808749840E-2,-2.048750035E-2,1.154999994E-2
1.087953940E-1,8.827500045E-2,-3.299999982E-3,-1.292499993E-2
1.113031630E-1,8.951249719E-2,2.351249941E-2,-3.011249937E-2
1.138099350E-1,6.008749828E-2,4.551250115E-2,-3.616249934E-2
1.163160410E-1,2.956249937E-2,4.551250115E-2,-2.268750034E-2
1.188228080E-1,2.749999985E-4,2.227500081E-2,-1.924999990E-3
1.213305000E-1,-2.777500078E-2,-8.249999955E-4,1.883750036E-2
1.238372710E-1,-3.148749843E-2,-2.529999986E-2,3.107500076E-2
1.263434630E-1,-7.012499962E-3,-4.235000163E-2,2.488750033E-2
1.288502300E-1,2.103750035E-2,-3.753750026E-2,1.388750039E-2
1.313579230E-1,1.732499897E-2,-7.012499962E-3,-3.162499983E-3
1.338646940E-1,-1.072499994E-2,1.746249944E-2,-1.539999992E-2
1.363708480E-1,-3.396249935E-2,2.227500081E-2,-2.144999988E-2
1.388776150E-1,-4.372499883E-2,4.124999978E-4,-1.539999992E-2
1.413852880E-1,-4.977500066E-2,-1.306249946E-2,1.649999991E-3
1.438921370E-1,-4.372499883E-2,-1.677500084E-2,1.388750039E-2
1.463982130E-1,1.512499992E-3,-8.249999955E-3,2.241249941E-2
1.489049810E-1,6.627500057E-2,3.987499978E-3,1.154999994E-2
1.514126730E-1,1.005124971E-1,1.622499898E-2,-6.874999963E-3
1.539195210E-1,8.084999770E-2,3.217500076E-2,-2.392499894E-2
1.564255980E-1,3.327500075E-2,3.217500076E-2,-3.011249937E-2
1.589323650E-1,-1.319999993E-2,6.462499965E-3,-1.911249943E-2
1.614398270E-1,-5.472499877E-2,-1.553750038E-2,2.887499984E-3
1.639468290E-1,-7.796250284E-2,-2.048750035E-2,2.736249939E-2
1.664527760E-1,-6.696250290E-2,-3.024999984E-2,4.207500070E-2
1.689597740E-1,-1.924999990E-2,-3.382499889E-2,3.341250122E-2
1.714674660E-1,3.203750029E-2,-2.777500078E-2,1.031249948E-2
1.739742570E-1,4.675000161E-2,-5.774999969E-3,-1.539999992E-2
1.764801800E-1,2.832499892E-2,2.351249941E-2,-3.121249937E-2
1.789871780E-1,6.324999966E-3,4.193750024E-2,-3.368749842E-2
1.814948850E-1,-5.774999969E-3,3.451250121E-2,-2.268750034E-2
1.840016560E-1,-1.924999990E-2,1.374999993E-2,-1.924999990E-3
1.865075790E-1,-2.543750033E-2,-5.774999969E-3,1.388750039E-2
1.890145610E-1,-5.774999969E-3,-2.653750032E-2,2.241249941E-2
1.915220230E-1,3.079999983E-2,-2.901249938E-2,1.512499992E-2
1.940290250E-1,5.279999971E-2,-1.429999992E-2,2.887499984E-3
1.965349480E-1,3.698749840E-2,1.251249947E-2,-1.044999994E-2
1.990419460E-1,2.749999985E-3,2.598750032E-2,-1.416249946E-2
2.015494070E-1,-2.653750032E-2,1.017499994E-2,-1.044999994E-2
2.040564090E-1,-4.853750020E-2,-1.553750038E-2,5.499999970E-4
2.065623330E-1,-6.324999779E-2,-2.653750032E-2,1.636249945E-2
2.090693310E-1,-4.977500066E-2,-2.406249940E-2,2.241249941E-2
2.115767920E-1,2.749999985E-4,-1.553750038E-2,1.883750036E-2
2.140837800E-1,5.527500063E-2,2.749999985E-3,-6.874999963E-4
2.165897030E-1,7.356250286E-2,2.227500081E-2,-2.392499894E-2
2.190964460E-1,5.403750017E-2,3.575000167E-2,-3.739999980E-2
2.216041390E-1,1.856249943E-2,3.093750030E-2,-3.739999980E-2
2.241111310E-1,-1.443750039E-2,8.937500417E-3,-1.663750038E-2
2.266170540E-1,-4.372499883E-2,-7.012499962E-3,1.031249948E-2
2.291238210E-1,-5.596249923E-2,-1.306249946E-2,3.231250122E-2
2.316315180E-1,-3.272499889E-2,-3.024999984E-2,3.959999979E-2
2.341382900E-1,1.374999993E-2,-3.877500072E-2,2.612499893E-2
2.366444430E-1,4.427500069E-2,-2.653750032E-2,4.124999978E-3
2.391512110E-1,3.451250121E-2,2.749999985E-3,-1.911249943E-2
2.416589030E-1,1.127499994E-2,3.698749840E-2,-3.121249937E-2
2.441656740E-1,-1.196249947E-2,4.069999978E-2,-2.763750032E-2
2.466718280E-1,-2.543750033E-2,2.117500082E-2,-1.416249946E-2
2.491785950E-1,-3.753750026E-2,-3.299999982E-3,5.362499971E-3
2.516862880E-1,-3.643750027E-2,-2.653750032E-2,1.759999990E-2
2.541932900E-1,-5.774999969E-3,-3.629999980E-2,2.007500082E-2
2.566991360E-1,3.932499886E-2,-2.158750035E-2,9.074999951E-3
2.592059940E-1,6.008749828E-2,7.699999958E-3,-3.162499983E-3
2.617136860E-1,4.798749834E-2,3.327500075E-2,-1.539999992E-2
2.642204440E-1,2.103750035E-2,3.575000167E-2,-2.021249942E-2
2.667265200E-1,-2.199999988E-3,6.462499965E-3,-1.416249946E-2
2.692333650E-1,-3.272499889E-2,-2.048750035E-2,1.649999991E-3
2.717410610E-1,-5.596249923E-2,-2.777500078E-2,1.883750036E-2
2.742478320E-1,-5.101250112E-2,-2.048750035E-2,2.859999985E-2
2.767539090E-1,-1.072499994E-2,-9.487500414E-3,2.131249942E-2
2.792607530E-1,3.203750029E-2,-3.299999982E-3,-6.874999963E-4
2.817684460E-1,3.932499886E-2,6.462499965E-3,-2.268750034E-2
2.842752170E-1,1.979999989E-2,1.622499898E-2,-3.368749842E-2
2.867813710E-1,2.749999985E-4,1.869999990E-2,-3.011249937E-2
2.892880610E-1,-1.567500085E-2,1.127499994E-2,-9.349999949E-3
2.917958300E-1,-2.653750032E-2,5.224999972E-3,1.636249945E-2
2.943026010E-1,-2.048750035E-2,-5.774999969E-3,3.341250122E-2
2.968086780E-1,1.251249947E-2,-2.158750035E-2,2.983750030E-2
2.993154460E-1,4.798749834E-2,-3.258749843E-2,1.388750039E-2
3.018231910E-1,6.256250292E-2,-1.429999992E-2,-9.349999949E-3
3.043299620E-1,3.698749840E-2,1.869999990E-2,-2.392499894E-2
3.068360540E-1,-9.624999948E-4,4.303750023E-2,-2.392499894E-2
3.093428210E-1,-3.024999984E-2,3.698749840E-2,-1.416249946E-2
3.118505710E-1,-4.977500066E-2,6.462499965E-3,-1.924999990E-3
3.143573420E-1,-6.201250106E-2,-3.258749843E-2,1.388750039E-2
3.168634190E-1,-5.472499877E-2,-5.335000157E-2,2.007500082E-2
3.193702640E-1,-1.801249944E-2,-4.358749837E-2,1.759999990E-2
3.218778790E-1,2.832499892E-2,-1.182499994E-2,5.362499971E-3
3.243847270E-1,5.527500063E-2,3.217500076E-2,-1.044999994E-2
3.268908040E-1,5.651250109E-2,5.775000155E-2,-2.392499894E-2
3.293976480E-1,4.056249931E-2,4.303750023E-2,-2.887500077E-2
3.319052640E-1,1.856249943E-2,2.749999985E-3,-1.787500083E-2
3.344121120E-1,-1.677500084E-2,-2.653750032E-2,2.887499984E-3
3.369181890E-1,-4.372499883E-2,-3.258749843E-2,2.612499893E-2
3.394249560E-1,-3.753750026E-2,-1.801249944E-2,3.588749841E-2
3.419326490E-1,-3.437499981E-3,-3.299999982E-3,2.612499893E-2
3.444394820E-1,2.956249937E-2,3.987499978E-3,4.124999978E-3
3.469455590E-1,2.832499892E-2,3.987499978E-3,-2.268750034E-2
3.494523310E-1,3.987499978E-3,2.749999985E-3,-3.616249934E-2
3.519600230E-1,-1.801249944E-2,5.224999972E-3,-3.011249937E-2
3.544668710E-1,-3.396249935E-2,5.224999972E-3,-6.874999963E-3
3.569729290E-1,-3.877500072E-2,1.127499994E-2,1.759999990E-2
3.594796960E-1,-2.543750033E-2,3.987499978E-3,2.983750030E-2
3.619873890E-1,8.799999952E-3,-1.677500084E-2,2.612499893E-2
3.644941750E-1,4.908749834E-2,-3.024999984E-2,5.362499971E-3
3.670000980E-1,6.132499874E-2,-1.924999990E-2,-1.416249946E-2
3.695070960E-1,3.932499886E-2,1.622499898E-2,-2.639999986E-2
3.720147880E-1,8.799999952E-3,4.675000161E-2,-2.392499894E-2
3.745215600E-1,-1.319999993E-2,4.193750024E-2,-1.044999994E-2
3.770274830E-1,-3.519999981E-2,7.699999958E-3,6.599999964E-3
3.795344810E-1,-5.101250112E-2,-3.024999984E-2,2.131249942E-2
3.820421730E-1,-4.743750021E-2,-5.582499877E-2,2.241249941E-2
3.845489340E-1,-1.567500085E-2,-5.224999785E-2,1.759999990E-2
3.870548570E-1,2.103750035E-2,-1.429999992E-2,4.124999978E-3
3.895618550E-1,3.932499886E-2,3.451250121E-2,-1.168750040E-2
3.920693170E-1,3.808749840E-2,5.775000155E-2,-2.392499894E-2
3.945763390E-1,3.079999983E-2,4.069999978E-2,-2.763750032E-2
3.970822620E-1,1.251249947E-2,-8.249999955E-4,-1.787500083E-2
3.995892600E-1,-1.801249944E-2,-2.653750032E-2,1.649999991E-3
4.020967410E-1,-4.124999791E-2,-2.777500078E-2,2.364999987E-2
4.046037430E-1,-3.024999984E-2,-1.553750038E-2,3.231250122E-2
4.071096660E-1,3.987499978E-3,-2.062499989E-3,2.007500082E-2
4.096164330E-1,3.079999983E-2,6.462499965E-3,-6.874999963E-4
4.121241390E-1,2.956249937E-2,8.937500417E-3,-2.268750034E-2
4.146311410E-1,1.127499994E-2,8.937500417E-3,-3.121249937E-2
4.171370640E-1,-9.487500414E-3,3.987499978E-3,-2.392499894E-2
