"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.187275900E-2,1.909500062E-1,9.091050148E0,3.577050209E0
1.437900300E-2,2.419500053E-1,9.256050110E0,3.430950165E0
1.688600800E-2,1.789500117E-1,9.313050270E0,3.265050173E0
1.939377700E-2,1.120500043E-1,9.342000008E0,3.114000082E0
2.190086800E-2,2.895000204E-2,9.535950661E0,2.959050179E0
2.440725300E-2,-5.205000192E-2,9.754050255E0,2.808000088E0
2.691433000E-2,-1.000500023E-1,9.912000656E0,2.502000093E0
2.942211800E-2,-5.700000376E-2,9.988950729E0,2.133000135E0
3.192919700E-2,-4.050000105E-3,9.868950844E0,1.939050078E0
3.443559000E-2,3.600000218E-2,9.547950745E0,1.869000077E0
3.694243400E-2,1.200000048E-1,9.250950813E0,1.903050065E0
3.945035800E-2,2.419500053E-1,9.220050812E0,2.116050005E0
4.195743600E-2,2.659500241E-1,9.229950905E0,2.353049994E0
4.446366700E-2,1.890000105E-1,9.249000549E0,2.515950203E0
4.697074200E-2,1.120500043E-1,9.289950371E0,2.683050156E0
4.947866500E-2,-3.795000166E-2,9.313050270E0,3.013950109E0
5.198574400E-2,-1.980000138E-1,9.258000374E0,3.390000105E0
5.449189800E-2,-3.420000076E-1,9.220050812E0,3.667950153E0
5.699897300E-2,-3.540000021E-1,9.325050354E0,3.771000147E0
5.950674200E-2,-3.390000165E-1,9.547950745E0,3.763050079E0
6.201382100E-2,-2.479500175E-1,9.655950546E0,3.595950127E0
6.451997500E-2,-9.705000371E-2,9.622050285E0,3.186000109E0
6.702705000E-2,9.600000083E-2,9.526950836E0,2.739000082E0
6.953497300E-2,2.730000019E-1,9.373050690E0,2.551950216E0
7.204205200E-2,4.210500121E-1,9.202950478E0,2.320050001E0
7.454828300E-2,4.980000257E-1,9.079050064E0,2.062950134E0
7.705527600E-2,4.789500237E-1,9.187050819E0,1.840950131E0
7.956327600E-2,3.900000155E-1,9.454950333E0,1.812000036E0
8.207012400E-2,2.299500108E-1,9.631950378E0,1.951050043E0
8.457650900E-2,-1.605000161E-2,9.531000137E0,2.170950174E0
8.708357800E-2,-2.650500238E-1,9.406949997E0,2.536950111E0
8.959134800E-2,-3.660000265E-1,9.414000511E0,2.937000036E0
9.209842700E-2,-4.090500176E-1,9.577050209E0,3.265050173E0
9.460459400E-2,-3.750000298E-1,9.703950882E0,3.426000118E0
9.711190000E-2,-2.670000196E-1,9.703950882E0,3.519000053E0
9.961959200E-2,-1.090500057E-1,9.522000313E0,3.475950241E0
1.021267430E-1,7.200000435E-2,9.265950203E0,3.379950047E0
1.046328970E-1,2.149500102E-1,9.127050400E0,3.217050076E0
1.071398950E-1,3.570000231E-1,9.064050674E0,3.114000082E0
1.096478950E-1,3.690000176E-1,9.025950432E0,2.899050236E0
1.121549740E-1,2.970000207E-1,9.120000839E0,2.575950146E0
1.146611280E-1,1.600500047E-1,9.391950607E0,2.344050169E0
1.171682120E-1,-1.950000064E-3,9.555000305E0,2.311950207E0
1.196759810E-1,-1.980000138E-1,9.450000763E0,2.293050051E0
1.221830600E-1,-3.319500089E-1,9.390000343E0,2.338950157E0
1.246894450E-1,-3.510000110E-1,9.559950829E0,2.499000072E0
1.271962890E-1,-2.599500120E-1,9.766050339E0,2.656950235E0
1.297042120E-1,-1.309500039E-1,9.888000488E0,2.739000082E0
1.322112910E-1,1.200000010E-2,9.792000771E0,2.748000145E0
1.347175320E-1,1.770000011E-1,9.559950829E0,2.773950100E0
1.372246070E-1,3.229500055E-1,9.289950371E0,2.881950140E0
1.397325300E-1,4.279500246E-1,9.109950066E0,2.929950237E0
1.422396330E-1,4.380000234E-1,9.045000076E0,2.977950096E0
1.447457860E-1,3.130500019E-1,9.007050514E0,2.928000212E0
1.472528610E-1,1.410000026E-1,9.081000328E0,2.857950211E0
1.497606310E-1,-6.405000389E-2,9.256050110E0,2.844000101E0
1.522677100E-1,-2.939999998E-1,9.330000877E0,2.851050138E0
1.547738630E-1,-4.849500358E-1,9.250950813E0,2.953950167E0
