"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.437897400E-2,3.739999980E-2,-3.574999981E-3,1.113750041E-2
1.688600800E-2,6.421250105E-2,-2.062499896E-2,-5.912499968E-3
1.939377700E-2,8.373750001E-2,-3.781250119E-2,-1.691249944E-2
2.190086800E-2,8.992499858E-2,-4.138749838E-2,-2.186249942E-2
2.440725300E-2,9.597499669E-2,-3.162499890E-2,-1.938750036E-2
2.691433000E-2,9.239999950E-2,-1.581249945E-2,-1.333750039E-2
2.942211800E-2,8.016250283E-2,-7.149999961E-3,-5.912499968E-3
3.192919500E-2,5.568749830E-2,-1.581249945E-2,1.374999993E-3
3.443559000E-2,2.639999986E-2,-2.186249942E-2,6.187499966E-3
3.694243400E-2,-6.599999964E-3,-1.209999993E-2,1.113750041E-2
3.945035800E-2,-4.083750024E-2,6.187499966E-3,1.237499993E-2
4.195743600E-2,-7.136250287E-2,2.694999985E-2,1.113750041E-2
4.446366700E-2,-9.459999949E-2,4.413750023E-2,6.187499966E-3
4.697074200E-2,-1.006499976E-1,5.018749833E-2,-9.624999948E-3
4.947866500E-2,-9.707500041E-2,3.671250120E-2,-1.938750036E-2
5.198574400E-2,-8.236250281E-2,1.966249943E-2,-2.557500079E-2
5.449189800E-2,-5.788749829E-2,8.662499487E-3,-2.309999987E-2
5.699897300E-2,-2.488750033E-2,1.374999993E-3,-1.333750039E-2
5.950674200E-2,1.416249946E-2,-3.574999981E-3,-1.099999994E-3
6.201382100E-2,5.321250111E-2,-1.086249948E-2,1.361249946E-2
6.451997500E-2,8.373750001E-2,-2.186249942E-2,1.966249943E-2
6.702705000E-2,1.033999994E-1,-4.262499884E-2,2.461249940E-2
6.953497300E-2,1.119249985E-1,-5.362499878E-2,2.584999986E-2
7.204205200E-2,9.844999760E-2,-4.991250113E-2,2.213750035E-2
7.454828300E-2,7.273750007E-2,-2.681249939E-2,1.718750037E-2
7.705527600E-2,3.739999980E-2,1.374999993E-3,5.087499972E-3
7.956327600E-2,-1.787499990E-3,2.337500080E-2,-8.387500420E-3
8.207012400E-2,-3.712499887E-2,2.584999986E-2,-2.667500079E-2
8.457650900E-2,-6.764999777E-2,2.213750035E-2,-3.409999982E-2
8.708357800E-2,-8.607500046E-2,2.213750035E-2,-3.533750027E-2
