"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,4.079881280E1,1.676130470E1,4.676764835E2,NaN,NaN,4.965399933E1,1.287991142E1
5.672191300E-1,4.079860500E1,1.676141333E1,4.629772778E2,4.735444486E-1,2.034900055E2,1.269999981E1,1.000999985E2
1.067219130E0,4.079938000E1,1.676228167E1,4.629783768E2,4.716914654E0,1.261399994E2,9.800000191E0,1.989999962E1
1.613219130E0,4.079945167E1,1.676229833E1,4.630782732E2,5.884819031E0,1.277799988E2,8.399999619E0,1.970000076E1
2.113219130E0,4.079956000E1,1.676229500E1,4.630780246E2,5.837464809E0,1.272699966E2,6.800000191E0,1.580000019E1
2.613219130E0,4.079959833E1,1.676235000E1,4.630781179E2,3.482095718E0,1.275100021E2,4.199999809E0,1.450000000E1
3.113219130E0,4.079959500E1,1.676238500E1,4.630782381E2,2.117052555E0,1.284199982E2,2.599999905E0,1.460000038E1
4.113219130E0,4.079958000E1,1.676240333E1,4.632783302E2,1.358866692E0,1.282599945E2,2.299999952E0,1.469999981E1
5.113219130E0,4.079957667E1,1.676241000E1,4.636783590E2,7.154639065E-2,1.552599945E2,2.200000048E0,1.569999981E1
6.113219130E0,4.079957333E1,1.676241000E1,4.639783663E2,1.708877832E-1,2.777699890E2,2.099999905E0,1.660000038E1
7.113219130E0,4.079957500E1,1.676241333E1,4.639783734E2,4.694266617E-1,6.462000275E1,2.099999905E0,1.580000019E1
8.113219130E0,4.079957167E1,1.676241833E1,4.638783968E2,1.399529696E0,7.951000214E1,2.000000000E0,1.639999962E1
9.113219130E0,4.079957333E1,1.676243500E1,4.635784469E2,2.143303394E0,7.733999634E1,2.000000000E0,1.519999981E1
1.011321913E1,4.079958000E1,1.676245667E1,4.632785022E2,2.782073498E0,6.984999847E1,1.899999976E0,1.419999981E1
1.111321913E1,4.079958667E1,1.676249167E1,4.629786004E2,3.116642952E0,7.016000366E1,1.899999976E0,1.430000019E1
1.211321913E1,4.079960167E1,1.676253167E1,4.622786965E2,3.729677200E0,6.787000275E1,1.799999952E0,1.360000038E1
1.311321913E1,4.079961167E1,1.676257667E1,4.616788197E2,4.181603432E0,6.952999878E1,2.099999905E0,1.410000038E1
1.411321913E1,4.079962333E1,1.676263167E1,4.611789715E2,4.802358150E0,6.944000244E1,2.200000048E0,1.460000038E1
