"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,4.079133850E1,1.675197130E1,4.988628462E2,NaN,NaN,1.953700066E1,3.148061037E0
1.059747048E0,4.079131740E1,1.675198990E1,4.988629526E2,NaN,NaN,2.810000038E1,3.758318663E0
3.068747048E0,4.079131833E1,1.675192167E1,5.060627063E2,0.000000000E0,0.000000000E0,3.200000048E0,3.840000153E1
4.068747048E0,4.079132000E1,1.675192500E1,5.060627134E2,0.000000000E0,0.000000000E0,3.299999952E0,3.859999847E1
5.652747048E0,4.079132333E1,1.675186000E1,5.061624967E2,0.000000000E0,0.000000000E0,3.400000095E0,3.150000000E1
6.652747048E0,4.079132000E1,1.675185500E1,5.060624880E2,0.000000000E0,0.000000000E0,3.400000095E0,3.000000000E1
7.652747048E0,4.079132000E1,1.675185500E1,5.060624880E2,3.278780580E-1,2.838399963E2,3.400000095E0,2.800000000E1
8.652747048E0,4.079132000E1,1.675185500E1,5.060624880E2,3.937624991E-1,2.672699890E2,3.099999905E0,2.760000038E1
9.652747048E0,4.079132000E1,1.675185500E1,5.060624880E2,3.505258262E-1,2.684500122E2,3.000000000E0,2.810000038E1
1.065274705E1,4.079131500E1,1.675187000E1,5.058625473E2,2.218452841E-1,2.617399902E2,2.900000095E0,2.850000000E1
1.165274705E1,4.079132167E1,1.675188000E1,5.058625648E2,2.851561010E-1,2.722699890E2,2.799999952E0,2.860000038E1
1.265274705E1,4.079132833E1,1.675189167E1,5.060625877E2,1.559608281E-1,5.133000183E1,2.700000048E0,2.820000076E1
1.365274705E1,4.079133167E1,1.675189833E1,5.060626019E2,2.285366654E-1,1.352400055E2,2.700000048E0,2.870000076E1
1.465274705E1,4.079133000E1,1.675190500E1,5.062626270E2,5.383994579E-1,2.391699982E2,2.599999905E0,2.650000000E1
1.565274705E1,4.079133500E1,1.675191667E1,5.065626536E2,2.480961084E-1,2.163699951E2,2.400000095E0,2.760000038E1
1.665274705E1,4.079133833E1,1.675191833E1,5.065626516E2,1.575050056E-1,2.568200073E2,2.299999952E0,2.560000038E1
1.765274705E1,4.079133833E1,1.675191833E1,5.065626516E2,2.064036131E-1,2.793699951E2,2.299999952E0,2.360000038E1
1.865274705E1,4.079133833E1,1.675191833E1,5.065626516E2,1.441222280E-1,2.904700012E2,2.299999952E0,2.350000000E1
1.965274705E1,4.079134333E1,1.675193333E1,5.066626889E2,1.430927813E-1,3.554299927E2,2.299999952E0,2.360000038E1
2.065274705E1,4.079134500E1,1.675194333E1,5.068627174E2,1.997122169E-1,1.197999954E1,2.200000048E0,2.389999962E1
2.165274705E1,4.079134333E1,1.675195000E1,5.069627426E2,1.297100037E-1,3.656999969E1,2.200000048E0,2.450000000E1
