"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.579837000E-2,-2.070000172E-1,9.373050690E0,8.539500237E-1
1.830418400E-2,-1.789500117E-1,9.475950241E0,9.790500402E-1
2.081064600E-2,-1.279500127E-1,9.736950874E0,1.336050034E0
2.331803100E-2,-1.395000052E-2,1.000500011E1,1.756950140E0
2.582456900E-2,1.170000061E-1,1.009200001E1,2.017950058E0
2.833031800E-2,1.870500147E-1,9.946050644E0,2.098950148E0
3.083678000E-2,2.680500150E-1,9.591000557E0,1.896000147E0
3.334424100E-2,2.820000052E-1,9.237000465E0,1.594050050E0
3.585070500E-2,2.970000207E-1,9.067049980E0,1.357050061E0
3.835659400E-2,3.229500055E-1,9.187050819E0,1.336050034E0
4.086305400E-2,2.629500031E-1,9.522000313E0,1.483950019E0
4.337043800E-2,2.389500141E-1,9.886050224E0,1.561050057E0
4.587690200E-2,1.339500099E-1,1.001700020E1,1.438050032E0
4.838273300E-2,1.695000008E-2,9.880950928E0,1.209000111E0
5.088919200E-2,-7.605000585E-2,9.610050201E0,9.930000305E-1
5.339680800E-2,-1.309500039E-1,9.373050690E0,8.779500127E-1
5.590327100E-2,-1.429500133E-1,9.334950447E0,1.053000093E0
5.840913300E-2,-7.800000161E-2,9.562050819E0,1.429050088E0
6.091559200E-2,7.905000448E-2,9.976950645E0,1.843050122E0
6.342297700E-2,2.059500068E-1,1.026900005E1,2.092050076E0
6.592951700E-2,2.970000207E-1,1.014405060E1,2.121000051E0
6.843530000E-2,3.160500228E-1,9.732000351E0,1.905000091E0
7.094176000E-2,2.970000207E-1,9.274950027E0,1.606050134E0
7.344914500E-2,2.659500241E-1,9.052050591E0,1.339950085E0
7.595568500E-2,2.560500205E-1,9.175050735E0,1.267950058E0
7.846146800E-2,2.340000123E-1,9.607950211E0,1.410000086E0
8.096800500E-2,1.750500053E-1,1.003200054E1,1.528950095E0
8.347538900E-2,9.300000221E-2,1.015395069E1,1.459950089E0
8.598208400E-2,-2.295000106E-2,9.967050552E0,1.222950101E0
8.848774200E-2,-1.360500008E-1,9.603000641E0,9.859500527E-1
9.099443200E-2,-1.960500032E-1,9.349050522E0,8.760000467E-1
9.350181700E-2,-1.909500062E-1,9.337050438E0,1.039050102E0
9.600835700E-2,-9.300000221E-2,9.565050125E0,1.399950027E0
9.851411700E-2,4.800000042E-2,9.960000038E0,1.885950089E0
1.010206530E-1,1.870500147E-1,1.021395016E1,2.133000135E0
1.035280380E-1,2.490000129E-1,1.012005043E1,2.116050005E0
1.060345010E-1,3.109500110E-1,9.706050873E0,1.920000076E0
1.085402950E-1,2.989500165E-1,9.273000717E0,1.588950038E0
1.110468310E-1,2.869500220E-1,9.064050674E0,1.342950106E0
1.135542160E-1,2.680500150E-1,9.163050652E0,1.186950088E0
1.160606790E-1,2.580000162E-1,9.558000565E0,1.282950044E0
1.185665490E-1,2.370000184E-1,9.955050468E0,1.447950125E0
1.210730090E-1,1.510500014E-1,1.011600018E1,1.398000121E0
1.235803940E-1,5.205000192E-2,9.925950050E0,1.209000111E0
1.260870880E-1,-1.395000052E-2,9.586050034E0,9.810000658E-1
1.285929640E-1,-9.300000221E-2,9.316050529E0,8.830500245E-1
1.310994240E-1,-8.505000174E-2,9.262950897E0,1.017000079E0
1.336068080E-1,-6.405000389E-2,9.483000755E0,1.375950098E0
1.361132720E-1,6.405000389E-2,9.847050667E0,1.900950074E0
1.386191560E-1,1.510500014E-1,1.017300034E1,2.281050205E0
1.411256150E-1,2.269500047E-1,1.017300034E1,2.323950052E0
1.436330770E-1,2.779500186E-1,9.850050926E0,2.014950037E0
1.461395410E-1,2.749500275E-1,9.373050690E0,1.635000110E0
1.486453440E-1,2.509500086E-1,9.097949982E0,1.312050104E0
1.511518800E-1,2.200500071E-1,9.175050735E0,1.210950017E0
1.536592650E-1,1.990500093E-1,9.550050735E0,1.303950071E0
1.561659590E-1,1.819500029E-1,1.002000046E1,1.458000064E0
1.586715790E-1,1.099500060E-1,1.019205093E1,1.386000037E0
1.611780380E-1,1.395000052E-2,1.001295090E1,1.170000076E0
1.636854230E-1,-7.095000148E-2,9.711000443E0,9.570000172E-1
1.661921940E-1,-1.210500076E-1,9.426000595E0,9.049500227E-1
1.686977320E-1,-1.450500041E-1,9.328050613E0,1.009950042E0
1.712045000E-1,-8.295000345E-2,9.451950073E0,1.363950014E0
