"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.642540900E-2,1.516624987E-1,5.444999784E-2,-1.328250021E-1
3.642540900E-2,7.393375039E-1,5.073750019E-2,3.698749840E-2
4.642540900E-2,8.273375034E-1,-2.254999988E-2,1.909874976E-1
5.642540900E-2,2.127124965E-1,-2.983750030E-2,2.092749923E-1
6.642540900E-2,-3.724874854E-1,-1.141249985E-1,5.046249926E-2
7.642540900E-2,-5.348749757E-1,5.816249922E-2,-1.156374961E-1
8.642540900E-2,-2.380124927E-1,9.844999760E-2,-2.048749924E-1
9.642540900E-2,-2.380124927E-1,9.844999760E-2,-2.048749924E-1
1.064254090E-1,-2.380124927E-1,9.844999760E-2,-2.048749924E-1
1.164254090E-1,-2.380124927E-1,9.844999760E-2,-2.048749924E-1
1.264254090E-1,-2.380124927E-1,9.844999760E-2,-2.048749924E-1
1.364254090E-1,-1.574375033E-1,4.716249928E-2,-7.906249911E-2
1.464254090E-1,-8.415000141E-2,7.521250099E-2,-1.535875052E-1
1.564254090E-1,-8.415000141E-2,7.521250099E-2,-1.535875052E-1
1.664254090E-1,-8.415000141E-2,7.521250099E-2,-1.535875052E-1
1.764254090E-1,-8.415000141E-2,7.521250099E-2,-1.535875052E-1
1.864254090E-1,-2.543750033E-2,2.639999986E-2,-2.406249940E-2
1.964254090E-1,-4.015000165E-2,2.144999988E-2,-8.758749813E-2
2.064254090E-1,-1.938750036E-2,6.049999967E-2,-3.135000169E-2
2.164254090E-1,-1.938750036E-2,6.049999967E-2,-3.135000169E-2
2.264254090E-1,-1.938750036E-2,6.049999967E-2,-3.135000169E-2
2.364254090E-1,2.089999989E-2,2.392499894E-2,4.069999978E-2
2.464254090E-1,-3.767500073E-2,3.244999796E-2,-5.458749831E-2
2.564254090E-1,-2.199999988E-3,1.416249946E-2,-5.458749831E-2
2.664254090E-1,-2.199999988E-3,1.416249946E-2,-5.458749831E-2
2.764254090E-1,6.324999966E-3,2.021249942E-2,5.664999783E-2
2.864254090E-1,3.313750029E-2,6.874999963E-4,-1.306249946E-2
2.964254090E-1,2.337500080E-2,2.873750031E-2,-1.058750041E-2
3.064254090E-1,-3.643750027E-2,2.639999986E-2,-2.062499989E-3
3.164254090E-1,-2.296249941E-2,1.649999991E-2,-1.058750041E-2
3.264254090E-1,4.908749834E-2,3.162499983E-3,2.969999984E-2
3.364254090E-1,2.708750032E-2,1.773750037E-2,3.822499886E-2
3.464254090E-1,-1.691249944E-2,2.639999986E-2,-2.034999989E-2
3.564254090E-1,7.562499959E-3,-4.262499977E-3,-3.753750026E-2
3.664254090E-1,7.562499959E-3,-4.262499977E-3,-3.753750026E-2
3.764254090E-1,1.374999993E-4,3.121249937E-2,2.241249941E-2
3.864254090E-1,2.832499892E-2,-5.499999970E-3,-1.677500084E-2
3.964254090E-1,2.337500080E-2,3.973750025E-2,1.622499898E-2
4.064254090E-1,2.337500080E-2,3.973750025E-2,1.622499898E-2
4.164254090E-1,-2.199999988E-2,2.351249941E-2,-1.677500084E-2
4.264254090E-1,3.904999793E-2,3.849999979E-3,7.562499959E-3
4.364254090E-1,1.099999994E-2,2.832499892E-2,3.327500075E-2
4.464254090E-1,1.099999994E-2,2.832499892E-2,3.327500075E-2
4.564254090E-1,1.099999994E-2,2.832499892E-2,3.327500075E-2
4.664254090E-1,1.099999994E-2,2.832499892E-2,3.327500075E-2
4.764254090E-1,-9.762499481E-3,3.849999979E-3,2.749999985E-3
4.864254090E-1,-9.762499481E-3,3.849999979E-3,2.749999985E-3
4.964254090E-1,1.223750040E-2,6.324999966E-3,1.127499994E-2
5.064254090E-1,1.223750040E-2,6.324999966E-3,1.127499994E-2
5.164254090E-1,1.223750040E-2,6.324999966E-3,1.127499994E-2
5.264254090E-1,1.223750040E-2,6.324999966E-3,1.127499994E-2
5.364254090E-1,-2.474999987E-3,2.956249937E-2,2.722499892E-2
5.464254090E-1,-4.523750022E-2,1.856249943E-2,-2.529999986E-2
5.564254090E-1,-4.523750022E-2,1.856249943E-2,-2.529999986E-2
5.664254090E-1,-4.523750022E-2,1.856249943E-2,-2.529999986E-2
5.764254090E-1,-1.223750040E-2,2.227500081E-2,1.746249944E-2
5.864254090E-1,8.524999954E-3,-1.196249947E-2,-1.924999990E-2
5.964254090E-1,7.287499961E-3,3.203750029E-2,2.351249941E-2
6.064254090E-1,7.287499961E-3,3.203750029E-2,2.351249941E-2
6.164254090E-1,7.287499961E-3,3.203750029E-2,2.351249941E-2
6.264254090E-1,3.052499890E-2,8.799999952E-3,1.251249947E-2
6.364254090E-1,-1.099999994E-2,1.361249946E-2,3.327500075E-2
6.464254090E-1,-1.099999994E-2,1.361249946E-2,3.327500075E-2
6.564254090E-1,-1.099999994E-2,1.361249946E-2,3.327500075E-2
6.664254090E-1,3.052499890E-2,2.351249941E-2,3.451250121E-2
6.764254090E-1,-2.323750034E-2,1.251249947E-2,1.498750038E-2
6.864254090E-1,-9.762499481E-3,-9.624999948E-4,-2.419999987E-2
6.964254090E-1,-9.762499481E-3,-9.624999948E-4,-2.419999987E-2
7.064254090E-1,-9.762499481E-3,1.251249947E-2,7.562499959E-3
7.164254090E-1,2.557500079E-2,2.351249941E-2,-1.196249947E-2
7.264254090E-1,5.486249924E-2,-7.149999961E-3,1.856249943E-2
7.364254090E-1,-1.237499993E-3,2.103750035E-2,4.922499880E-2
7.464254090E-1,-1.237499993E-3,2.103750035E-2,4.922499880E-2
7.564254090E-1,-2.474999987E-3,1.127499994E-2,-2.653750032E-2
7.664254090E-1,7.081250101E-2,7.562499959E-3,1.498750038E-2
7.764254090E-1,3.299999982E-2,8.799999952E-3,2.722499892E-2
7.864254090E-1,3.574999981E-3,5.087499972E-3,-9.624999948E-4
7.964254090E-1,1.223750040E-2,5.087499972E-3,-2.199999988E-3
8.064254090E-1,-1.966249943E-2,2.461249940E-2,-9.624999948E-4
8.164254090E-1,-1.347499993E-2,8.799999952E-3,-2.653750032E-2
8.264254090E-1,1.952499896E-2,1.608750038E-2,2.749999985E-4
8.364254090E-1,1.952499896E-2,1.608750038E-2,2.749999985E-4
8.464254090E-1,1.952499896E-2,1.608750038E-2,2.749999985E-4
8.564254090E-1,1.952499896E-2,1.608750038E-2,2.749999985E-4
8.664254090E-1,3.904999793E-2,1.251249947E-2,-2.199999988E-3
8.764254090E-1,2.928750031E-2,2.612499986E-3,3.698749840E-2
8.864254090E-1,2.928750031E-2,2.612499986E-3,3.698749840E-2
8.964254090E-1,2.928750031E-2,2.612499986E-3,3.698749840E-2
9.064254090E-1,6.599999964E-2,2.584999986E-2,-1.196249947E-2
9.164254090E-1,7.287499961E-3,-8.387500420E-3,1.732499897E-2
9.264254090E-1,-4.949999973E-3,1.856249943E-2,1.979999989E-2
9.364254090E-1,-4.949999973E-3,1.856249943E-2,1.979999989E-2
9.464254090E-1,-4.949999973E-3,1.856249943E-2,1.979999989E-2
9.564254090E-1,-2.694999985E-2,1.608750038E-2,-3.437499981E-3
9.664254090E-1,1.223750040E-2,1.608750038E-2,-1.072499994E-2
9.764254090E-1,3.657500073E-2,-3.437499981E-3,1.251249947E-2
9.764254090E-1,3.657500073E-2,-3.437499981E-3,1.251249947E-2
9.964254090E-1,3.657500073E-2,-3.437499981E-3,1.251249947E-2
1.006425409E0,-1.594999991E-2,1.732499897E-2,-1.196249947E-2
1.016425409E0,8.181250095E-2,3.849999979E-3,3.987499978E-3
1.016425409E0,8.181250095E-2,3.849999979E-3,3.987499978E-3
1.036425409E0,-3.176249936E-2,8.799999952E-3,-2.199999988E-3
1.046425409E0,-2.474999987E-3,1.608750038E-2,-1.677500084E-2
1.056425409E0,3.423750028E-2,-2.199999988E-3,-1.319999993E-2
1.066425409E0,-2.804999985E-2,1.484999992E-2,2.598750032E-2
1.066425409E0,-2.804999985E-2,1.484999992E-2,2.598750032E-2
1.086425409E0,2.681249939E-2,-9.624999948E-4,-1.443750039E-2
1.096425409E0,-1.237499993E-3,3.327500075E-2,-4.537499975E-3
1.106425409E0,-1.952499896E-2,-2.048750035E-2,-2.199999988E-3
1.116425409E0,-1.347499993E-2,4.303750023E-2,1.732499897E-2
1.126425409E0,-1.347499993E-2,4.303750023E-2,1.732499897E-2
1.136425409E0,-1.347499993E-2,5.032499880E-2,1.732499897E-2
1.146425409E0,-2.694999985E-2,-3.643750027E-2,-9.487500414E-3
1.156425409E0,-3.712499980E-3,4.908749834E-2,2.749999985E-3
1.166425409E0,5.376249924E-2,-3.891250119E-2,-1.924999990E-2
1.176425409E0,5.376249924E-2,-3.891250119E-2,-1.924999990E-2
1.186425409E0,-1.099999994E-2,-1.938750036E-2,-7.012499962E-3
1.196425409E0,2.681249939E-2,2.956249937E-2,-7.012499962E-3
1.206425409E0,2.681249939E-2,2.956249937E-2,-7.012499962E-3
1.216425409E0,2.681249939E-2,2.956249937E-2,-7.012499962E-3
1.226425409E0,2.681249939E-2,2.956249937E-2,-7.012499962E-3
1.236425409E0,5.376249924E-2,-2.543750033E-2,-9.487500414E-3
1.246425409E0,-2.076249942E-2,3.808749840E-2,1.622499898E-2
1.256425409E0,-2.076249942E-2,3.808749840E-2,1.622499898E-2
1.266425409E0,-2.076249942E-2,3.808749840E-2,1.622499898E-2
1.276425409E0,7.081250101E-2,-2.667500079E-2,-2.048750035E-2
1.286425409E0,-3.299999982E-2,3.684999794E-2,2.956249937E-2
1.296425409E0,-3.299999982E-2,3.684999794E-2,2.956249937E-2
1.306425409E0,-3.299999982E-2,3.684999794E-2,2.956249937E-2
1.316425409E0,-3.299999982E-2,3.684999794E-2,2.956249937E-2
1.326425409E0,-3.176249936E-2,4.784999788E-2,1.732499897E-2
1.336425409E0,4.812499974E-3,-3.272499889E-2,-1.196249947E-2
1.346425409E0,5.857500061E-2,3.684999794E-2,-9.624999948E-4
1.356425409E0,5.857500061E-2,3.684999794E-2,-9.624999948E-4
1.366425409E0,-2.199999988E-2,1.732499897E-2,1.127499994E-2
1.376425409E0,2.323750034E-2,1.512499992E-3,-1.319999993E-2
1.386425409E0,5.499999970E-2,-1.814999990E-2,-7.012499962E-3
1.396425409E0,5.499999970E-2,-1.814999990E-2,-7.012499962E-3
1.406425409E0,5.499999970E-2,-1.814999990E-2,-7.012499962E-3
1.416425409E0,5.499999970E-2,3.437500075E-2,-8.249999955E-3
1.426425409E0,1.952499896E-2,-3.891250119E-2,-9.624999948E-4
1.436425409E0,1.952499896E-2,-3.891250119E-2,-9.624999948E-4
1.446425409E0,1.952499896E-2,-3.891250119E-2,-9.624999948E-4
1.456425409E0,8.428750187E-2,3.932499886E-2,-9.487500414E-3
1.466425409E0,8.428750187E-2,3.932499886E-2,-9.487500414E-3
1.466425409E0,-4.152499884E-2,-3.891250119E-2,1.856249943E-2
1.486425409E0,-4.152499884E-2,-3.891250119E-2,1.856249943E-2
1.496425409E0,-4.152499884E-2,-3.891250119E-2,1.856249943E-2
1.506425409E0,-4.152499884E-2,-3.891250119E-2,1.856249943E-2
1.516425409E0,-3.547500074E-2,2.749999985E-4,6.324999966E-3
1.526425409E0,6.971249729E-2,2.461249940E-2,-2.048750035E-2
1.536425409E0,7.287499961E-3,-3.038750030E-2,2.749999985E-4
1.546425409E0,7.287499961E-3,-3.038750030E-2,2.749999985E-4
1.556425409E0,-8.524999954E-3,-3.891250119E-2,-2.172499895E-2
1.566425409E0,8.304999769E-2,4.413750023E-2,-9.487500414E-3
1.576425409E0,8.304999769E-2,4.413750023E-2,-9.487500414E-3
1.586425409E0,8.304999769E-2,4.413750023E-2,-9.487500414E-3
1.596425409E0,3.423750028E-2,-9.624999948E-3,-1.443750039E-2
1.606425409E0,2.076249942E-2,-2.199999988E-3,2.749999985E-3
1.616425409E0,-6.476250291E-2,2.213750035E-2,1.622499898E-2
1.626425409E0,1.718750037E-2,-1.319999993E-2,-2.419999987E-2
1.636425409E0,1.718750037E-2,-1.319999993E-2,-2.419999987E-2
1.646425409E0,1.718750037E-2,-1.319999993E-2,-2.419999987E-2
