"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,4.078877280E1,1.677742220E1,4.589503993E2,NaN,NaN,5.609999847E1,8.217778206E0
6.743316430E-1,4.078948660E1,1.677586360E1,4.513438138E2,NaN,NaN,1.160999985E2,1.547999954E1
1.083331643E0,4.078817000E1,1.677760333E1,4.467523067E2,5.239872336E-1,3.274400024E2,5.800000191E0,1.000000000E1
1.669331643E0,4.078809000E1,1.677768333E1,4.467527392E2,6.696535945E-1,3.286700134E2,5.000000000E0,7.199999809E0
2.169331643E0,4.078799667E1,1.677771500E1,4.467530452E2,8.992197514E-1,3.297900085E2,3.299999952E0,7.199999809E0
2.669331643E0,4.078796500E1,1.677772000E1,4.461531305E2,1.324895024E0,3.366099854E2,2.000000000E0,7.199999809E0
3.169331643E0,4.078797000E1,1.677771333E1,4.459530982E2,2.019769907E0,3.284400024E2,1.700000048E0,7.300000191E0
4.169331643E0,4.078798833E1,1.677769667E1,4.457530044E2,2.841266632E0,3.281700134E2,1.600000024E0,7.599999905E0
5.669331643E0,4.078803000E1,1.677766667E1,4.459528167E2,3.359591961E0,3.314599915E2,1.600000024E0,7.500000000E0
6.669331643E0,4.078806000E1,1.677764833E1,4.459526921E2,4.082776546E0,3.328200073E2,1.600000024E0,7.500000000E0
7.669331643E0,4.078809500E1,1.677762167E1,4.461525297E2,4.442052841E0,3.324599915E2,1.899999976E0,8.000000000E0
8.669331643E0,4.078813500E1,1.677759667E1,4.463523618E2,4.813167572E0,3.328900146E2,2.099999905E0,8.300000191E0
9.669331643E0,4.078817500E1,1.677756667E1,4.464521778E2,4.902214527E0,3.334100037E2,1.799999952E0,7.199999809E0
1.066933164E1,4.078821667E1,1.677754000E1,4.465520008E2,5.135383606E0,3.330899963E2,2.000000000E0,7.500000000E0
1.166933164E1,4.078825833E1,1.677751000E1,4.466518131E2,5.190973759E0,3.323999939E2,2.099999905E0,7.800000191E0
1.266933164E1,4.078830167E1,1.677748167E1,4.466516271E2,5.354655266E0,3.325000000E2,2.200000048E0,8.100000381E0
1.366933164E1,4.078834667E1,1.677745167E1,4.467514321E2,5.483850479E0,3.326499939E2,2.200000048E0,8.199999809E0
1.466933164E1,4.078839167E1,1.677742500E1,4.468512479E2,5.518851757E0,3.318299866E2,2.299999952E0,8.000000000E0
1.566933164E1,4.078843500E1,1.677739500E1,4.467510566E2,5.456055641E0,3.319500122E2,2.299999952E0,7.699999809E0
1.666933164E1,4.078848000E1,1.677736333E1,4.467508562E2,5.505983829E0,3.309800110E2,2.299999952E0,7.699999809E0
1.766933164E1,4.078852167E1,1.677733167E1,4.467506631E2,5.487453461E0,3.312200012E2,2.299999952E0,7.599999905E0
1.866933164E1,4.078856667E1,1.677730000E1,4.466504628E2,5.502895355E0,3.306900024E2,2.299999952E0,7.500000000E0
1.966933164E1,4.078861000E1,1.677726833E1,4.466502661E2,4.993834972E0,3.311600037E2,2.299999952E0,7.400000095E0
2.066933164E1,4.078865333E1,1.677723167E1,4.463500533E2,5.457085133E0,3.316400146E2,1.799999952E0,6.300000191E0
2.166933164E1,4.078869667E1,1.677719833E1,4.463498512E2,5.483850479E0,3.306099854E2,1.700000048E0,6.300000191E0
2.266933164E1,4.078874000E1,1.677717000E1,4.463496652E2,5.494659901E0,3.317099915E2,1.700000048E0,6.199999809E0
2.366933164E1,4.078878500E1,1.677714000E1,4.465494702E2,5.511645317E0,3.321300049E2,2.000000000E0,6.599999905E0
2.466933164E1,4.078883000E1,1.677710833E1,4.467492698E2,5.530175686E0,3.317200012E2,2.099999905E0,6.900000095E0
2.566933164E1,4.078887667E1,1.677707833E1,4.468490712E2,5.568264961E0,3.322999878E2,2.200000048E0,7.099999905E0
2.666933164E1,4.078892333E1,1.677704667E1,4.468488672E2,5.615104675E0,3.326900024E2,2.299999952E0,7.199999809E0
2.766933164E1,4.078897167E1,1.677701500E1,4.468486595E2,5.673782825E0,3.323699951E2,2.299999952E0,7.300000191E0
2.866933164E1,4.078902333E1,1.677698167E1,4.468484392E2,5.744299889E0,3.324500122E2,2.299999952E0,7.300000191E0
2.966933164E1,4.078907500E1,1.677694833E1,4.468482189E2,5.826655388E0,3.324200134E2,2.299999952E0,7.300000191E0
3.066933164E1,4.078912667E1,1.677691500E1,4.468479986E2,5.917246819E0,3.316300049E2,2.299999952E0,7.199999809E0
